"sep=	"
Shimmer_A679_TimestampSync_Unix_CAL	Shimmer_A679_Accel_LN_X_CAL	Shimmer_A679_Accel_LN_Y_CAL	Shimmer_A679_Accel_LN_Z_CAL	Shimmer_A679_Accel_WR_X_CAL	Shimmer_A679_Accel_WR_Y_CAL	Shimmer_A679_Accel_WR_Z_CAL	Shimmer_A679_Battery_CAL	Shimmer_A679_Ext_Exp_A15_CAL	Shimmer_A679_GSR_Range_CAL	Shimmer_A679_GSR_Skin_Conductance_CAL	Shimmer_A679_GSR_Skin_Resistance_CAL	Shimmer_A679_Gyro_X_CAL	Shimmer_A679_Gyro_Y_CAL	Shimmer_A679_Gyro_Z_CAL	Shimmer_A679_Mag_X_CAL	Shimmer_A679_Mag_Y_CAL	Shimmer_A679_Mag_Z_CAL	Shimmer_A679_PPG_A13_CAL	Shimmer_A679_Pressure_BMP280_CAL	Shimmer_A679_Temperature_BMP280_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	mV	mV	no_units	uS	kOhms	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	mV	kPa	Degrees Celsius	
1.7713405901512893E12	6.33695652173913	-5.304347826086956	2.402173913043478	4.5385996409335725	-8.54817474566128	0.07660083782166367	3928.205128205128	1914.2857142857142	1.0	8.92139219665352	112.09012875536482	-3.3740458015267176	-0.8549618320610687	-1.3435114503816794	-0.8050974512743628	0.12293853073463268	-0.27136431784107945	1220.5128205128203	99.62612507177612	28.596731256786732	
1.7713405901709194E12	6.3478260869565215	-5.282608695652174	2.402173913043478	4.524236983842011	-8.557749850388989	0.06223818073010173	3920.879120879121	1900.3663003663003	1.0	8.92139219665352	112.09012875536482	-2.931297709923664	0.564885496183206	-1.648854961832061	-0.808095952023988	0.13793103448275862	-0.2578710644677661	1200.7326007326008	99.62612507177612	28.596731256786732	
1.7713405901905496E12	6.33695652173913	-5.293478260869565	2.380434782608696	4.519449431478157	-8.555356074207062	0.059844404548174746	3900.3663003663	1872.5274725274724	1.0	8.92139219665352	112.09012875536482	-3.0229007633587783	1.7251908396946565	-1.6946564885496183	-0.8125937031484257	0.12593703148425786	-0.2608695652173913	1184.6153846153845	99.62328716600538	28.596731256786732	
1.7713405902101797E12	6.282608695652174	-5.304347826086956	2.402173913043478	4.464392579293836	-8.569718731298623	0.08138839018551765	3929.6703296703295	1904.0293040293038	1.0	8.92139219665352	112.09012875536482	-3.5725190839694654	1.7557251908396947	-1.4351145038167938	-0.8065967016491754	0.12443778110944527	-0.2638680659670165	1178.021978021978	99.63180089163936	28.596731256786732	
1.7713405902298098E12	6.228260869565217	-5.315217391304348	2.402173913043478	4.435667265110712	-8.555356074207062	0.06941950927588271	3928.205128205128	1912.087912087912	1.0	8.916286965067451	112.15430861723448	-3.679389312977099	1.984732824427481	-1.4351145038167938	-0.8140929535232384	0.13493253373313344	-0.2608695652173913	1180.952380952381	99.62328716600538	28.596731256786732	
1.77134059024944E12	6.228260869565217	-5.315217391304348	2.4239130434782608	4.4117295032914425	-8.564931178934769	0.09096349491322561	3929.6703296703295	1915.018315018315	1.0	8.916286965067451	112.15430861723448	-3.679389312977099	1.618320610687023	-1.6793893129770991	-0.8050974512743628	0.13193403298350825	-0.2653673163418291	1191.9413919413919	99.62328716600538	28.596731256786732	
1.77134059026907E12	6.206521739130435	-5.304347826086956	2.391304347826087	4.39736684619988	-8.58886894075404	0.07899461400359066	3904.7619047619046	1884.249084249084	1.0	8.916286965067451	112.15430861723448	-3.9083969465648853	1.2213740458015268	-1.083969465648855	-0.815592203898051	0.12593703148425786	-0.2698650674662669	1205.128205128205	99.61761136278564	28.596731256786732	
1.7713405902887002E12	6.195652173913043	-5.293478260869565	2.4239130434782608	4.368641532016756	-8.57211250748055	0.10771992818671454	3901.8315018315016	1874.7252747252746	1.0	8.916286965067451	112.15430861723448	-4.091603053435114	0.7022900763358778	-1.3893129770992365	-0.8110944527736131	0.12893553223388304	-0.2653673163418291	1215.3846153846152	99.62328716600538	28.596731256786732	
1.7713405903083303E12	6.206521739130435	-5.271739130434782	2.4130434782608696	4.344703770197486	-8.564931178934769	0.08138839018551765	3929.6703296703295	1904.7619047619046	1.0	8.911181733481383	112.21856201661416	-4.152671755725191	-0.24427480916030533	-0.9618320610687022	-0.8035982008995503	0.12293853073463268	-0.26836581709145424	1220.5128205128203	99.62328716600538	28.596731256786732	
1.7713405903279607E12	6.206521739130435	-5.282608695652174	2.380434782608696	4.359066427289048	-8.550568521843207	0.07660083782166367	3922.344322344322	1904.7619047619046	1.0	8.911181733481383	112.21856201661416	-4.2748091603053435	-1.2671755725190839	-0.6717557251908397	-0.8035982008995503	0.12893553223388304	-0.27136431784107945	1226.3736263736264	99.62328716600538	28.596731256786732	
1.7713405903475908E12	6.228260869565217	-5.304347826086956	2.369565217391304	4.426092160383004	-8.567324955116696	0.08138839018551765	3903.296703296703	1874.7252747252746	1.0	8.911181733481383	112.21856201661416	-4.351145038167939	-1.5419847328244274	-0.549618320610687	-0.8110944527736131	0.12743628185907047	-0.2608695652173913	1232.2344322344322	99.62328716600538	28.596731256786732	
1.771340590367221E12	6.271739130434782	-5.293478260869565	2.4130434782608696	4.464392579293836	-8.564931178934769	0.08617594254937164	3929.6703296703295	1904.7619047619046	1.0	8.906076501895315	112.28288907996561	-3.877862595419847	-1.0534351145038168	-0.6564885496183206	-0.8050974512743628	0.1409295352323838	-0.2623688155922039	1237.3626373626373	99.62044926300854	28.596731256786732	
1.771340590386851E12	6.260869565217391	-5.293478260869565	2.391304347826087	4.442848593656493	-8.564931178934769	0.08856971873129862	3929.6703296703295	1912.8205128205127	1.0	8.906076501895315	112.28288907996561	-3.7404580152671754	-1.4045801526717556	-0.6106870229007634	-0.8095952023988006	0.12293853073463268	-0.2653673163418291	1233.6996336996335	99.62328716600538	28.596731256786732	
1.7713405904064812E12	6.293478260869565	-5.304347826086956	2.3369565217391304	4.454817474566128	-8.59605026929982	0.033512866546977854	3929.6703296703295	1915.7509157509155	1.0	8.900971270309249	112.34728993404073	-3.7557251908396947	-1.4961832061068703	-0.9007633587786259	-0.8050974512743628	0.1199400299850075	-0.2593703148425787	1221.9780219780218	99.62612507177612	28.596731256786732	
