,subject_id,condition,rep,lvl0_start,lvl1_start,lvl2_start,lvl3_start,lvl4_start,lvl5_start,lvl6_start,lvl7_start,lvl7_end
94,57261,NE_empty,0,-0.001,48.999,72.999,94.999,129.999,148.999,178.999,198.999,219.999
95,57261,NE_empty,1,-0.01,46.99,69.99,88.99,119.99,136.99,164.99,182.99,200.99
96,59688,ES,0,-0.013,0.987,1.987,1.987,4.987,5.987,5.987,6.987,9.987
97,59688,ES,1,-0.012,47.988,70.988,91.988,123.988,144.988,174.988,194.988,213.988
98,59688,ES_empty,0,-0.005,48.995,71.995,93.995,127.995,148.995,184.995,206.995,229.995
99,59688,ES_empty,1,-0.006,46.994,71.994,90.994,124.994,146.994,178.994,200.994,223.994
100,59688,NE,0,-0.007,51.993,78.993,106.993,144.993,167.993,202.993,228.993,253.993
101,59688,NE,1,-0.005,47.995,72.995,93.995,127.995,147.995,179.995,199.995,225.995
102,59688,NE_empty,0,-0.017,2.983,3.983,3.983,5.983,6.983,7.983,8.983,9.983
103,59688,NE_empty,1,-0.0,50.0,74.0,93.0,126.0,149.0,179.0,199.0,221.0
104,69905,ES,0,-0.015,43.985,65.985,83.985,115.985,131.985,160.985,176.985,192.985
105,69905,ES,1,-0.005,46.995,72.995,92.995,124.995,141.995,170.995,188.995,207.995
106,69905,ES_empty,0,-0.013,45.987,67.987,86.987,116.987,138.987,168.987,185.987,204.987
107,69905,ES_empty,1,-0.005,43.995,68.995,87.995,119.995,137.995,170.995,188.995,210.995
108,69905,NE,0,-0.014,43.986,80.986,97.986,128.986,144.986,175.986,192.986,209.986
109,69905,NE,1,-0.011,47.989,70.989,89.989,121.989,139.989,169.989,185.989,204.989
110,69905,NE_empty,0,-0.019,47.981,74.981,96.981,128.981,147.981,177.981,196.981,214.981
111,69905,NE_empty,1,-0.01,43.99,63.99,80.99,112.99,132.99,163.99,182.99,203.99
112,85824,ES,0,-0.017,49.983,70.983,93.983,125.983,146.983,174.983,192.983,213.983
113,85824,ES,1,-0.008,45.992,63.992,79.992,106.992,123.992,150.992,167.992,183.992
114,85824,ES_empty,0,-0.016,45.984,66.984,80.984,110.984,130.984,158.984,178.984,195.984
115,85824,ES_empty,1,-0.0,46.0,64.0,77.0,103.0,119.0,148.0,164.0,179.0
116,85824,NE,0,-0.017,50.983,74.983,94.983,129.983,149.983,175.983,194.983,212.983
